cu_media_ppm,Ii,E_Ii,Var_Ii,Z_Ii,p_value,Tipo_cluster,Cluster_LISA
55.0,0.2373904747756425,-0.0015337423312883432,0.14029782564921053,1.6273589646421889,0.029,LL,LL
20.0,0.6488037410542232,-0.0015337423312883434,0.1639322759625387,1.4099432072109206,0.048,LL,LL
70.0,0.051428527769864237,-0.0015337423312883436,0.24665285205918713,1.4224127427035416,0.051,LL,No significativo
35.833333333333336,0.5702504837361051,-0.0015337423312883436,0.4948145803491324,1.051532833253679,0.126,LL,No significativo
50.0,0.19262225751073675,-0.0015337423312883436,0.32937342815583553,0.68990978849894,0.255,LL,No significativo
20.0,1.2072774231503034,-0.0015337423312883436,0.32937342815583553,1.865304641077312,0.006,LL,LL
150.0,1.2845110931910684,-0.0015337423312883436,0.24665285205918713,1.5784888256854333,0.068,HH,No significativo
100.0,0.14056932694427815,-0.0015337423312883436,0.991138036929023,0.2496452168366486,0.289,HH,No significativo
110.0,0.4015446799179484,-0.0015337423312883436,0.24665285205918713,1.030213690766014,0.155,HH,No significativo
125.0,0.43889762495106893,-0.0015337423312883434,0.1639322759625387,1.028480298080022,0.147,HH,No significativo
70.0,-0.0005594823634409368,-0.0015337423312883434,0.1639322759625387,-0.045354651463301345,0.447,LH,No significativo
15.0,0.3886883536666659,-0.0015337423312883434,0.1639322759625387,0.7651211661471975,0.238,LL,No significativo
30.0,0.44505298171571706,-0.0015337423312883434,0.1639322759625387,1.1885890919312765,0.1,LL,No significativo
60.0,0.13478209198880797,-0.0015337423312883436,0.24665285205918713,0.9440377704446302,0.169,LL,No significativo
30.0,0.07505456956094954,-0.0015337423312883436,0.24665285205918713,0.16442760311465632,0.482,LL,No significativo
100.0,-0.24525402069383762,-0.0015337423312883436,0.24665285205918713,-0.8615559911054149,0.198,HL,No significativo
40.0,0.18429756527341373,-0.0015337423312883436,0.24665285205918713,0.5190421834090656,0.335,LL,No significativo
42.5,0.6137111141241308,-0.0015337423312883436,0.1970205064011981,2.069779249076883,0.005,LL,LL
8.5,1.2632118921428221,-0.0015337423312883434,0.1639322759625387,2.275206110113611,0.004,LL,LL
20.0,1.0559229614807863,-0.0015337423312883436,0.1970205064011981,2.060819622131754,0.005,LL,LL
30.0,1.0436281907127631,-0.0015337423312883436,0.4948145803491324,1.6378994041473403,0.015,LL,LL
108.0,0.7145827985328723,-0.0015337423312883436,0.1970205064011981,2.208694984710713,0.028,HH,HH
150.0,1.5100378825180136,-0.0015337423312883436,0.24665285205918713,1.8509934549002842,0.052,HH,No significativo
